Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
1023019	1546804728	920	1391040	8133.104746327861	9043826.830960415	12297254.376447726	13674266168.412148	1023019	1546804728	920	1391040	8133.104746327861	9043826.830960415	12297254.376447726	13674266168.412148	voice
1023918	1548164016	899	1359288	10570.002567739548	12038727.351673797	15981843.882422198	18202555755.73078	1023918	1548164016	899	1359288	10570.002567739548	12038727.351673797	15981843.882422198	18202555755.73078	voice
1024873	1549607976	955	1443960	8204.24865329865	8804516.157122668	12404823.96378756	13312428429.569473	1024873	1549607976	955	1443960	8204.24865329865	8804516.157122668	12404823.96378756	13312428429.569473	voice
1025778	1550976336	905	1368360	9583.724979296694	10862733.968854148	14490592.168696601	16424453760.90747	1025778	1550976336	905	1368360	9583.724979296694	10862733.968854148	14490592.168696601	16424453760.90747	voice
1026689	1552353768	911	1377432	8663.736311177117	9763954.741587402	13099569.3024998	14763099569.280153	1026689	1552353768	911	1377432	8663.736311177117	9763954.741587402	13099569.3024998	14763099569.280153	voice
1027605	1553738760	916	1384992	10766.711217103511	12078522.140012722	16279267.360260509	18262725475.699238	1027605	1553738760	916	1384992	10766.711217103511	12078522.140012722	16279267.360260509	18262725475.699238	voice
1028515	1555114680	910	1375920	8130.729841020299	9189645.716963729	12293663.519622693	13894744324.049158	1028515	1555114680	910	1375920	8130.729841020299	9189645.716963729	12293663.519622693	13894744324.049158	voice
1029443	1556517816	928	1403136	9617.77640721522	10669129.954712132	14542077.927709414	16131724491.524744	1029443	1556517816	928	1403136	9617.77640721522	10669129.954712132	14542077.927709414	16131724491.524744	voice
1030365	1557911880	922	1394064	9403.948894281977	10509218.874682048	14218770.728154348	15889938938.519257	1030365	1557911880	922	1394064	9403.948894281977	10509218.874682048	14218770.728154348	15889938938.519257	voice
1031324	1559361888	959	1450008	9042.984375070257	9724970.612758037	13672992.375106227	14704155566.49015	1031324	1559361888	959	1450008	9042.984375070257	9724970.612758037	13672992.375106227	14704155566.49015	voice
1032226	1560725712	902	1363824	9842.32611404652	11263309.21884455	14881597.084438339	17030123538.89296	1032226	1560725712	902	1363824	9842.32611404652	11263309.21884455	14881597.084438339	17030123538.89296	voice
1033135	1562100120	909	1374408	8263.94874240283	9392491.401520735	12495090.498513078	14201446999.09935	1033135	1562100120	909	1374408	8263.94874240283	9392491.401520735	12495090.498513078	14201446999.09935	voice
1034099	1563557688	964	1457568	8603.682205166071	9229314.486182602	13008767.494211098	13954723503.108095	1034099	1563557688	964	1457568	8603.682205166071	9229314.486182602	13008767.494211098	13954723503.108095	voice
1034990	1564904880	891	1347192	10359.980993937243	12034205.082957473	15664291.262833113	18195718085.431698	1034990	1564904880	891	1347192	10359.980993937243	12034205.082957473	15664291.262833113	18195718085.431698	voice
